Measurement,Pixels +-10mm,
100000,700,142.8571428571
Month,Pixels +-10mm,Natgas Usage
2008-01-01,660,94285.7142857143
2008-02-01,460,65714.2857142857
2008-03-01,510,72857.1428571429
2008-04-01,270,38571.4285714286
2008-05-01,170,24285.7142857143
2008-06-01,120,17142.8571428571
2008-07-01,110,15714.2857142857
2008-08-01,100,14285.7142857143
2008-09-01,90,12857.1428571429
2008-10-01,110,15714.2857142857
2008-11-01,260,37142.8571428571
2008-12-01,390,55714.2857142857
2009-01-01,360,51428.5714285714
2009-02-01,350,50000
2009-03-01,310,44285.7142857143
2009-04-01,270,38571.4285714286
2009-05-01,160,22857.1428571429
2009-06-01,100,14285.7142857143
2009-07-01,100,14285.7142857143
2009-08-01,100,14285.7142857143
2009-09-01,90,12857.1428571429
2009-10-01,110,15714.2857142857
2009-11-01,230,32857.1428571429
2009-12-01,310,44285.7142857143
